playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,picked
2552382,null,Malcolm Brown,RB,LA,RB,LA,-130.1196,4.3273,null,null,664,148,null,null,0.3355,null,null,0.3333,8.03,0,11.3511,null,FALSE
2555219,null,Daniel Lasco,RB,NO,RB,NO,-130.2453,4.2016,null,null,665,149,null,null,0.44,null,null,0.6667,6.3161,0,7.1453,null,FALSE
2534789,null,Daryl Richardson,RB,PIT,RB,PIT,-130.6649,3.7821,null,null,666,150,null,null,0.072,null,null,0,8.3262,0,5.7135,null,FALSE
2495161,null,Roy Helu,RB,OAK,RB,OAK,-130.7056,3.7413,null,null,667,151,null,null,0.2163,null,null,0.3333,5.6241,0,4.1459,null,FALSE
2553511,null,John Crockett,RB,GB,RB,GB,-130.7682,3.6788,null,null,668,152,null,null,0.3507,null,null,0.5567,6.8483,0,5.3428,null,FALSE
2550542,null,Kapri Bibbs,RB,DEN,RB,DEN,-131.0757,3.3712,null,null,669,153,null,null,0.1456,null,null,0,5.0678,0,null,null,FALSE
2543704,null,Lorenzo Taliaferro,RB,BAL,RB,BAL,-131.1621,3.2849,null,null,670,154,null,null,0.2557,null,null,0,7.4274,-0.3598,6.8207,null,FALSE
2534571,null,Bobby Rainey,RB,NYG,RB,NYG,-131.2805,3.1664,null,null,671,155,null,null,0.423,null,null,0.3333,7.8999,-0.6231,null,null,FALSE
2550270,null,Nikita Whitlock,RB,NYG,RB,NYG,-131.555,2.892,null,null,672,156,null,null,0.3317,null,null,null,6.3093,0,null,null,FALSE
2553660,null,Akeem Hunt,RB,HOU,RB,HOU,-131.852,2.5949,null,null,673,157,null,null,0.2039,null,null,0.5,4.8307,0,null,null,FALSE
79629,null,Cedric Peerman,RB,CIN,RB,CIN,-131.9214,2.5256,null,null,674,158,null,null,0.3074,null,null,0,5.2236,0,3.7126,null,FALSE
2540273,null,Zac Stacy,RB,FA,RB,FA,-132.1904,2.2565,null,null,675,159,null,null,0.0797,null,null,0,3.8921,0,2.6952,null,FALSE
2506147,null,John Kuhn,RB,GB,RB,GB,-132.2671,2.1798,null,null,676,160,null,null,0.0606,null,null,0.3333,3.2768,0,2.2955,null,FALSE
2541778,null,Kendall Gaskins,RB,SF,RB,SF,-132.2731,2.1738,null,null,677,161,null,null,0.2308,null,null,null,4.0467,0,null,null,FALSE
2553650,null,Corey Grant,RB,JAC,RB,JAC,-132.3824,2.0645,null,null,678,162,null,null,0.5731,null,null,0.3333,2.0668,0,null,null,FALSE
2553662,null,Gus Johnson,RB,ATL,RB,ATL,-132.6254,1.8215,null,null,679,163,null,null,0.7209,null,null,null,4.1735,-1.3494,null,null,FALSE
2533545,null,Bernard Pierce,RB,NYJ,RB,NYJ,-133.2857,1.1612,null,null,680,164,null,null,0.1335,null,null,0.5,2.1617,0,6.2036,null,FALSE
2541910,null,George Winn,RB,DET,RB,DET,-133.407,1.04,null,null,681,165,null,null,0.0313,null,null,null,2.4577,-0.2699,null,null,FALSE
2550235,null,Roosevelt Nix,RB,PIT,RB,PIT,-133.4315,1.0154,null,null,682,166,null,null,0.1568,null,null,0,1.7514,0,null,null,FALSE
2531218,null,Chase Reynolds,RB,LA,RB,LA,-133.445,1.0019,null,null,683,167,null,null,0.5606,null,null,null,1.7281,0,null,null,FALSE
2553618,null,Brandon Wegher,RB,CAR,RB,CAR,-133.7316,0.7153,null,null,684,168,null,null,0.5665,null,null,0,1.564,0,null,null,FALSE
2550540,null,George Atkinson,RB,OAK,RB,OAK,-134.2797,0.1672,null,null,685,169,null,null,0.0912,null,null,0,0.3113,0,null,null,FALSE
2556466,null,Peyton Barber,RB,TB,RB,TB,-134.3165,0.1304,null,null,686,170,null,null,0.1196,null,null,0.5,0.1963,0,null,null,FALSE
2553486,null,Trey Williams,RB,IND,RB,IND,-134.4253,0.0217,null,null,687,171,null,null,0.0217,null,null,0,0.0474,0,null,null,FALSE
941,null,Ray Rice,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,0.3333,0,0,2.3399,null,FALSE
4231,null,Jed Collins,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,null,0,0,2.2807,null,FALSE
79563,null,Shonn Greene,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,null,0,0,3.2429,null,FALSE
79619,null,Knowshon Moreno,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,0.3333,0,0,3.5538,null,FALSE
80674,null,Chris Ogbonnaya,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,null,0,0,2.5176,null,FALSE
496812,null,Erik Lorig,RB,FA,RB,FA,-134.4469,0,null,null,688,172,null,null,0,null,null,1,0,0,2.488,null,FALSE
